series,Units,date,price
Chile (LPG catalytic 5kg) - Metropolitan Region,CH$/liter,2016-06-01,6881.86274509804
Chile (LPG current 5kg) - Metropolitan Region,CH$/liter,2016-06-01,6744.60784313726
Curacao (100 lb bottle),NAF per 100 lb bottle,2016-06-01,40.0
Curacao (20 lb bottle),NAF per 20 lb bottle,2016-06-01,8.0
El Salvador (10 lbs)- commercial,US$/cylinder,2016-06-01,3.76
El Salvador (10 lbs)- hh,US$/cylinder,2016-06-01,3.76
El Salvador (20 lbs)- commercial,US$/cylinder,2016-06-01,7.48
El Salvador (20 lbs)- hh,US$/cylinder,2016-06-01,7.48
El Salvador (25 lbs) - commercial,US$/cylinder,2016-06-01,9.32
El Salvador (25 lbs) - hh,US$/cylinder,2016-06-01,9.32
El Salvador (35 lbs) - commercial,US$/cylinder,2016-06-01,13.05
El Salvador (35 lbs) - hh,US$/cylinder,2016-06-01,13.05
Fiji (12kg cylinder) ,Fiji dollar per cylinder,2016-06-01,33.38
Fiji (4.5kg cylinder) ,Fiji dollar per cylinder,2016-06-01,12.52
Fiji (LPG per kg wholesale),Fiji dollar per kg,2016-06-01,2.78
Grenada - LPG 20 lb cylinder ,EC$/cylinder,2016-06-01,42.0
Guatemala  - country regulated price (LPG 25lb cylinder,Q/Cylinder,2016-06-01,105.0
Israel (LPG) - prices at refinery gate excluding taxes and duties,ILS/kg,2016-06-01,1.33350814
Jamaica (Butane),JMD/liter,2016-06-01,42.318
Jamaica (Propane),JMD/liter,2016-06-01,35.81400000000001
Jordan (LPG - 12.5kg),JD/CY,2016-06-01,7.0
Lebanon (LPG 10kg),LBP/cylinder,2016-06-01,12660.0
Malaysia,RM/kg,2016-06-01,1.9
Malaysia (10 kg cylinder),RM/cylinder,2016-06-01,19.0
Malaysia (12kg cylinder),RM/cylinder,2016-06-01,22.8
Malaysia (14kg cylinder),RM/cylinder,2016-06-01,26.6
